,username,reponame,times
0,Russ Cox,golang/go,6477
1,Robert Griesemer,golang/go,3136
2,Rob Pike,golang/go,2969
3,Brad Fitzpatrick,golang/go,2290
4,Ian Lance Taylor,golang/go,1829
5,Austin Clements,golang/go,1307
6,Josh Bleecher Snyder,golang/go,1232
7,Andrew Gerrand,golang/go,1189
8,Keith Randall,golang/go,1017
9,Minux Ma,golang/go,924
10,Dmitry Vyukov,golang/go,881
11,Matthew Dempsky,golang/go,810
12,Alex Brainman,golang/go,754
13,Adam Langley,golang/go,523
14,Ken Thompson,golang/go,508
15,Dave Cheney,golang/go,476
16,Nigel Tao,golang/go,441
17,Bryan C. Mills,golang/go,398
18,David Crawshaw,golang/go,392
19,David Symonds,golang/go,353
20,Rémy Oudompheng,golang/go,323
21,Daniel Martí,golang/go,309
22,Michael Hudson-Doyle,golang/go,259
23,Alberto Donizetti,golang/go,244
24,Martin Möhrmann,golang/go,244
25,Michael Munday,golang/go,244
26,David Chase,golang/go,234
27,Tobias Klauser,golang/go,225
28,David du Colombier,golang/go,217
29,Joe Tsai,golang/go,209
30,Anthony Martin,golang/go,158
31,Marcel van Lohuizen,golang/go,153
32,Hyang-Ah Hana Kim,golang/go,144
33,Filippo Valsorda,golang/go,143
34,Gustavo Niemeyer,golang/go,140
35,Emmanuel T Odeke,golang/go,130
36,Ben Shi,golang/go,127
37,Than McIntosh,golang/go,124
38,Clément Chigot,golang/go,120
39,Ilya Tocar,golang/go,109
40,Todd,golang/go,108
41,Lynn Boger,golang/go,105
42,Andrew Bonventre,golang/go,104
43,Cuong Manh Le,golang/go,97
44,Richard Musiol,golang/go,96
45,Michael Knyszek,golang/go,94
46,Jay Conrod,golang/go,91
47,Daniel Theophanes,golang/go,89
48,mattn,golang/go,89
49,Iskander (Alex) Sharipov,golang/go,89
50,Roger Peppe,golang/go,87
51,Agniva De Sarker,golang/go,83
52,Elias Naur,golang/go,81
53,Giovanni Bajo,golang/go,78
54,Jan Ziak,golang/go,74
