reponame,grade,files,issues,gofmt,govet,golint,gocyclo,license,ineffassign,misspell
golang/go,A (88.5%),2006,823,73%,99%,85%,100%,95%,100%,100%
kubernetes/kubernetes,A+ (96.6%),12697,2171,98%,96%,91%,94%,99%,100%,100%
moby/moby,A+ (99.2%),4763,204,99%,99%,100%,96%,100%,100%,100%
avelino/awesome-go,A+ (99.8%),1,1,100%,99%,100%,100%,100%,100%,100%
getlantern/lantern,A (87.0%),1763,639,95%,95%,77%,89%,96%,0%,100%
gohugoio/hugo,A+ (95.9%),577,145,97%,99%,83%,89%,98%,100%,100%
astaxie/build-web-application-with-golang,B (79.1%),289,242,69%,95%,27%,100%,93%,100%,94%
gin-gonic/gin,A+ (98.7%),75,7,100%,98%,98%,93%,100%,100%,100%
gogs/gogs,B (79.8%),176,153,93%,81%,21%,73%,97%,100%,65%
fatedier/frp,A+ (98.3%),709,84,99%,99%,98%,89%,99%,100%,99%
syncthing/syncthing,A+ (93.3%),425,164,99%,94%,73%,84%,99%,100%,98%
etcd-io/etcd,A+ (97.9%),1820,275,99%,99%,89%,94%,99%,100%,100%
prometheus/prometheus,A+ (99.5%),2977,89,99%,99%,98%,98%,100%,100%,100%
containous/traefik,A+ (94.6%),405,79,98%,85%,100%,93%,100%,100%,100%
junegunn/fzf,A+ (90.9%),53,24,90%,100%,69%,81%,100%,100%,100%
caddyserver/caddy,A+ (95.5%),203,51,99%,96%,96%,77%,100%,100%,100%
ethereum/go-ethereum,A+ (98.0%),1996,296,99%,99%,90%,93%,99%,100%,100%
v2ray/v2ray-core,A+ (93.8%),608,233,99%,95%,68%,93%,99%,100%,98%
astaxie/beego,A+ (93.0%),225,69,93%,93%,95%,81%,100%,100%,99%
pingcap/tidb,A+ (96.3%),891,193,99%,95%,99%,81%,100%,100%,100%
FiloSottile/mkcert,A+ (91.2%),8,3,87%,100%,75%,87%,100%,100%,100%
istio/istio,A+ (92.3%),1882,582,98%,84%,87%,92%,99%,100%,100%
drone/drone,A+ (94.9%),535,91,93%,91%,98%,96%,99%,100%,99%
hashicorp/terraform,A+ (97.1%),4051,532,96%,99%,91%,96%,99%,100%,100%
minio/minio,A+ (95.3%),672,154,99%,90%,99%,84%,99%,100%,100%
unknwon/the-way-to-go_ZH_CN,A (86.7%),384,161,93%,96%,68%,99%,98%,0%,98%
iikira/BaiduPCS-Go,A+ (97.7%),408,60,98%,99%,95%,91%,99%,100%,100%
github/hub,A+ (98.5%),426,49,100%,100%,96%,91%,100%,100%,100%
influxdata/influxdb,A+ (93.5%),1253,421,95%,96%,78%,89%,99%,100%,100%
hashicorp/consul,A+ (97.3%),3754,468,96%,99%,91%,96%,99%,100%,100%
inconshreveable/ngrok,B (78.3%),46,42,95%,69%,13%,93%,95%,100%,100%
wagoodman/dive,A+ (92.4%),66,40,100%,98%,95%,43%,100%,100%,100%
cockroachdb/cockroach,A+ (98.6%),6482,657,99%,99%,99%,90%,99%,100%,100%
go-gitea/gitea,A+ (99.1%),3438,147,99%,98%,100%,96%,99%,100%,100%
rclone/rclone,A+ (99.5%),1952,67,99%,100%,100%,96%,99%,100%,100%
mattermost/mattermost-server,A+ (97.3%),2703,513,99%,99%,81%,96%,99%,100%,100%
kataras/iris,A+ (98.8%),420,27,99%,97%,100%,96%,100%,100%,99%
nsqio/nsq,A (89.0%),111,70,98%,91%,45%,89%,96%,100%,100%
kubernetes/minikube,A+ (94.1%),296,62,98%,82%,100%,97%,100%,100%,100%
openfaas/faas,A+ (98.3%),79,13,98%,100%,97%,92%,98%,100%,96%
jinzhu/gorm,A+ (91.2%),53,30,100%,92%,88%,56%,98%,100%,100%
labstack/echo,A+ (95.1%),55,11,92%,98%,100%,85%,98%,100%,100%
yeasy/docker_practice,D (58.8%),2,3,0%,100%,100%,100%,100%,0%,100%
go-kit/kit,A+ (96.3%),343,50,98%,91%,97%,97%,98%,100%,99%
helm/helm,A+ (96.8%),315,47,99%,94%,94%,93%,100%,100%,100%
spf13/cobra,A+ (98.0%),46,6,97%,100%,97%,91%,100%,100%,97%
hashicorp/vault,A+ (96.9%),5154,701,96%,99%,91%,94%,99%,100%,100%
joewalnes/websocketd,A (88.2%),18,16,100%,100%,83%,16%,100%,100%,100%
jesseduffield/lazygit,A+ (99.7%),1239,22,99%,99%,99%,98%,100%,100%,100%
yudai/gotty,A+ (96.4%),92,18,97%,97%,96%,85%,97%,100%,97%
rancher/rancher,A+ (98.7%),5202,459,99%,99%,91%,98%,99%,100%,100%
cayleygraph/cayley,A (85.7%),187,115,98%,82%,44%,86%,93%,100%,98%
tsenart/vegeta,A+ (98.0%),42,6,100%,97%,100%,90%,97%,100%,95%
sirupsen/logrus,A+ (95.1%),40,11,97%,97%,75%,97%,100%,100%,100%
golang/dep,A+ (98.9%),531,40,99%,100%,100%,93%,100%,100%,99%
jesseduffield/lazydocker,A+ (99.9%),700,8,100%,99%,99%,99%,100%,100%,99%
urfave/cli,A+ (93.1%),51,17,92%,96%,94%,82%,96%,100%,100%
buger/goreplay,A+ (98.5%),338,28,99%,99%,97%,93%,99%,100%,97%
dgraph-io/dgraph,A+ (94.4%),276,80,99%,90%,98%,81%,100%,100%,98%
revel/revel,A (86.7%),88,54,87%,96%,43%,92%,95%,100%,97%
tmrts/go-patterns,A (88.2%),4,1,75%,100%,100%,75%,100%,100%,100%
xtaci/kcptun,A (84.5%),11,7,100%,72%,54%,81%,100%,100%,100%
helm/charts,E (47.1%),2,2,50%,0%,100%,50%,100%,100%,100%
wtfutil/wtf,A+ (99.2%),2913,173,99%,99%,94%,99%,99%,100%,100%
go-martini/martini,A+ (97.1%),16,4,100%,100%,93%,81%,100%,100%,93%
valyala/fasthttp,A+ (95.8%),96,22,96%,98%,94%,82%,98%,100%,97%
