reponame,location,company
golang/go,"Cambridge, MA",Google
golang/go,Seattle,Google
golang/go,"Berkeley, California, USA",@google
golang/go,"Bend, OR",nan
golang/go,"Sydney, Australia",Google Inc.
golang/go,California,Google Inc
golang/go,中国,nan
golang/go,Munich,Google
golang/go,"San Francisco, CA",@google
golang/go,"Sydney, Australia",CSRF for social change
golang/go,"Pittsburgh, PA",Google
golang/go,"New York, NY",nan
golang/go,"Sydney, Australia",Google
golang/go,"Paris, France",nan
golang/go,"Sheffield, United Kingdom",nan
golang/go,"Wellington, NZ",@CanonicalLtd
golang/go,Italy,nan
golang/go,"London, UK",IBM (@linux-on-ibm-z)
golang/go,Switzerland,nan
golang/go,"Paris, France",@videolabs
golang/go,Mountain View,@google 
golang/go,California,nan
golang/go,"Zurich, Switzerland",Google
golang/go,NYC,"@Google, Go team"
golang/go,"Palo Alto, California",@orijtech 
golang/go,"Tianjin, China.",nan
golang/go,"Cambridge, Massachusetts",Google
golang/go,"Grenoble, France",ATOS
golang/go,"Rochester, MN",IBM
golang/go,NYC,Google
golang/go,Hanoi,nan
golang/go,"Berlin, Germany",nan
golang/go,"Boston, MA",Google
golang/go,New York City,@google 
golang/go,PDX,nan
golang/go,"Osaka, Japan",nan
golang/go,"Germany, Aachen",@VKCOM @grid-x 
golang/go,"Newcastle upon Tyne, UK",Heetch
golang/go,"Bangalore, India",nan
golang/go,"Florence, Italy",Develer S.r.l.
golang/go,Slovakia,Jan Ziak - atomsymbol
golang/go,"Alamo, CA",https://burke.services
golang/go,London,nan
golang/go,NYC,"Google, Go team"
golang/go,Maryland,nan
golang/go,Germany,Consultant
golang/go,Cambridge Ma.,Working on Go Language
golang/go,"Vienna, Austria",nan
golang/go,New York,Google
golang/go,"Aitken Basin, Luna",nan
golang/go,"Tokyo, Japan",Google
golang/go,"San Francisco, CA",@google
golang/go,"Palo Alto, CA",Liftoff
golang/go,San Francisco and Sydney,nan
golang/go,"Princeton, NJ",Temper
golang/go,Switzerland,@google Switzerland GmbH
golang/go,"São Paulo, Brazil",@IBM
golang/go,French Riviera,Amadeus
golang/go,San Francisco,Segment
golang/go,United States,Google
golang/go,Kyiv,@VictoriaMetrics 
golang/go,"中国, 武汉",nan
golang/go,"Mont-la-ville, Switzerland",@dedis 
golang/go,"Tokyo, Japan",nan
golang/go,"New York, USA",nan
golang/go,"Irving, TX",Nokia
golang/go,Gensokyo,Hakurei Shrine
golang/go,"Cambridge, MA",MIT CSAIL
golang/go,Japan,@google
golang/go,Bangalore,nan
golang/go,"Brooklyn, NY",nan
golang/go,Sweden,nan
golang/go,United States,@google 
golang/go,"Shenzhen, China",Tencent
golang/go,Bay Area,Google
golang/go,"Sydney, Australia",Google
golang/go,Denmark,nan
golang/go,"Halifax, Nova Scotia, Canada",@heroku
golang/go,California,nan
golang/go,Moscow,Yandex
golang/go,Cambridge,Google
golang/go,"Bellevue, WA",Microsoft
golang/go,"San Francisco, CA","Google, Inc"
golang/go,"New York, NY",@google 
golang/go,"Los Angeles, CA",@Clutter
golang/go,"Adelaide, South Australia",nan
golang/go,Chengdu,byteor.cn
golang/go,San Francisco,@dgraph-io
golang/go,Amsterdam,nan
golang/go,Paris,Le Bon Coin
golang/go,Montenegro,Coding Robots
golang/go,Bay Area,@strongdm 
golang/go,"Cluj-Napoca, Romania",Datadog
golang/go,"Vancouver, BC",@segmentio 
golang/go,London,"Mechanism Design, Cool Places, Cool Camping"
golang/go,Denmark,@minio 
golang/go,People's Republic of China,nan
golang/go,Belgium,ITeK Works
golang/go,"Pittsburgh, PA USA",Carnegie Mellon University
golang/go,"Estonia, Tartu",nan
golang/go,"Portland, OR",nan
golang/go,"SF Bay Area, CA, US",nan
golang/go,"Austin, TX",nan
golang/go,"Seattle, WA","Stripe, PLASMA @ UMass"
golang/go,PID 1,nan
golang/go,"Vancouver, British Columbia, Canada",nan
golang/go,"Kalamazoo, MI",@fastly
golang/go,"Tel Aviv, Israel",@facebook
golang/go,"Tokyo, Japan","Mercari, Inc."
golang/go,"Kitchener, Canada",Google
golang/go,"Munich, Germany",@VerizonMedia
golang/go,Tokyo,Google
golang/go,UK,nan
golang/go,"Hamburg, Germany",@freiheit-com
golang/go,"London, UK",@utilitywarehouse 
golang/go,New York,Google
golang/go,Germany,nan
golang/go,Nederland,Quies Net
golang/go,"Mountain View, CA",Google
golang/go,Washington,@Microsoft 
golang/go,Gijón,nan
golang/go,"Walnut Creek, CA",@dropbox
golang/go,"Zurich, Switzerland",nan
golang/go,SF,nan
golang/go,Sydney ✈︎ San Francisco,@stellar
golang/go,"Mountain View, CA",@google
golang/go,"Mountain View, California",@google 
golang/go,New York,Cloudflare
golang/go,"Moscow, Russia",Rostelecom InfoTech
golang/go,Zurich,@smallpdf 
golang/go,Germany,Student at TU-Darmstadt
golang/go,"New Jersey, USA",nan
golang/go,San Francisco,nan
golang/go,"Berlin, Germany",nan
golang/go,"Zürich, Switzerland",nan
golang/go,"Seattle, Washington",nan
golang/go,"Sibiu, Romania",nan
golang/go,"Falun, Sweden",nan
golang/go,/dev/random,nan
golang/go,"Guildford, UK",nan
golang/go,"London, UK",myitcv.io
