reponame,n,la_total,lo_total
golang/go,443,20391.076170799995,16288.144227900002
kubernetes/kubernetes,162,6852.426063599998,1606.9878143
gohugoio/hugo,54,2304.7427142000006,3099.9054699
astaxie/build-web-application-with-golang,176,6727.2759154000005,17934.046507
gin-gonic/gin,66,2725.1925888000005,6439.5226544
gogs/gogs,144,5936.426221899999,11441.281181800003
fatedier/frp,0,0,0
syncthing/syncthing,21,1056.1764469999998,915.4867314
etcd-io/etcd,83,3217.8510171999997,8194.8741812
prometheus/prometheus,304,14512.3604845,9884.306331599995
containous/traefik,39,1778.100858,219.3928448
junegunn/fzf,22,1155.4401452,294.90898799999997
caddyserver/caddy,82,4237.693738399999,408.2417759
ethereum/go-ethereum,158,6964.5744730000015,-4528.026214399989
v2ray/v2ray-core,0,0,0
astaxie/beego,74,2805.786443,6934.578372799999
pingcap/tidb,496,18721.6331955,51703.82584859999
FiloSottile/mkcert,0,0,0
istio/istio,60,2757.7246683999997,516.7409775999998
drone/drone,87,4064.515316399999,3364.2165038
hashicorp/terraform,300,13248.200961200004,14957.678985500004
minio/minio,22,1003.800853,-751.347481
unknwon/the-way-to-go_ZH_CN,50,1774.2794214999997,5603.8320445
github/hub,75,3105.6807900000003,6622.174583399999
influxdata/influxdb,179,7385.538633600001,-2369.8231410999897
hashicorp/consul,95,4075.234752100002,-6458.165549299991
inconshreveable/ngrok,0,0,0
wagoodman/dive,0,0,0
cockroachdb/cockroach,85,3543.870808699999,6067.3194239
go-gitea/gitea,186,7684.4630320999995,12246.337908100002
rclone/rclone,38,1892.2791693999995,457.5251256
mattermost/mattermost-server,113,5173.047603,-2737.6281792999985
kataras/iris,2,91.88632199999999,49.93352
nsqio/nsq,25,997.6049974999997,2910.184907500001
kubernetes/minikube,61,2288.6551694999994,4266.9824345
openfaas/faas,54,2661.017170699999,-2249.2495167999996
jinzhu/gorm,22,784.8762218000003,3072.3068332
labstack/echo,23,1103.8955285000002,430.3909295
yeasy/docker_practice,0,0,0
go-kit/kit,33,1682.9335229999992,1.8891145999999845
helm/helm,86,3807.5701217999995,1471.5164335999996
spf13/cobra,9,469.7975519999999,92.081154
hashicorp/vault,88,4511.771344499997,155.2606189
joewalnes/websocketd,0,0,0
jesseduffield/lazygit,4,176.248524,314.79612000000003
yudai/gotty,0,0,0
rancher/rancher,5,260.663165,26.45633
cayleygraph/cayley,10,513.7362019999999,83.855842
tsenart/vegeta,0,0,0
sirupsen/logrus,43,2150.9480895999995,-472.74667519999997
golang/dep,46,2139.3502035999995,787.5648987000001
go-delve/delve,22,1155.4401452,294.90898799999997
jesseduffield/lazydocker,4,205.8627494,72.5856257
urfave/cli,114,4685.466763200002,-3475.03157839999
buger/goreplay,3,124.15519169999999,6.5202105
zyedidia/micro,4,199.03890009999998,121.0557117
dgraph-io/dgraph,34,1331.4171574999998,2048.7688885000007
revel/revel,13,689.9773579999999,-448.12164699999994
tmrts/go-patterns,0,0,0
xtaci/kcptun,0,0,0
helm/charts,404,19644.3051829,518.6465861999995
wtfutil/wtf,29,1441.3054903999996,-2512.2440515999997
go-martini/martini,24,1124.9936622,159.4385719
valyala/fasthttp,32,1385.4897588,3129.628397200001
coreybutler/nvm-windows,0,0,0
fogleman/primitive,0,0,0
txthinking/brook,0,0,0
CodisLabs/codis,25,997.6049974999997,2910.184907500001
gorilla/mux,2,23.196569399999998,-130.5821742
gorilla/websocket,0,0,0
julienschmidt/httprouter,8,385.0810024,92.65584399999999
boltdb/bolt,0,0,0
spf13/viper,3,158.59918599999997,30.566436999999997
kubernetes/kops,169,7904.869071999999,807.4003213999982
micro/go-micro,8,385.0810024,92.65584399999999
grpc/grpc-go,75,3147.6732109999994,5126.178212000002
google/grumpy,36,1396.5129020999998,3378.089097700001
google/cadvisor,95,4005.204718699999,3782.0275095000015
goharbor/harbor,106,4210.275925999999,11629.951910000003
chai2010/advanced-go-programming-book,0,0,0
rancher/k3s,23,840.5808819000002,3085.4978404999997
hashicorp/packer,122,5414.5811598,3040.1749813000006
jaegertracing/jaeger,28,1442.4710011,262.4974119
gizak/termui,7,242.85607430000002,948.5157745000001
gocolly/colly,7,403.47385299999996,127.45171980000002
google/gvisor,50,1814.6057983000005,4116.680340699999
bcicen/ctop,2,103.8488402,8.955465199999999
hyperledger/fabric,64,2428.7940356,5783.8910267
esimov/caire,2,91.88632199999999,49.93352
dutchcoders/transfer.sh,15,710.2796503999999,73.3983767
vitessio/vitess,39,1287.4488349000003,3632.6527751
ipfs/go-ipfs,73,3497.9014078999994,221.83204719999995
