reponame,blau_index
golang/go,0.35276160325626105
kubernetes/kubernetes,0.5039322444041139
gohugoio/hugo,0.15666666666666684
astaxie/build-web-application-with-golang,0.5625
gin-gonic/gin,0.48979591836734704
gogs/gogs,0.49826388888888884
fatedier/frp,0.0
syncthing/syncthing,0.5207100591715976
etcd-io/etcd,0.5619047619047617
prometheus/prometheus,0.5142332415059685
containous/traefik,0.2098765432098766
junegunn/fzf,0.0
caddyserver/caddy,0.4473684210526315
ethereum/go-ethereum,0.30107526881720437
v2ray/v2ray-core,0.8888888888888888
astaxie/beego,0.6526315789473686
pingcap/tidb,0.5318559556786706
FiloSottile/mkcert,0.0
istio/istio,0.5746691871455578
drone/drone,0.27142857142857146
hashicorp/terraform,0.37261052837957065
minio/minio,0.9230769230769231
unknwon/the-way-to-go_ZH_CN,0.7692307692307694
github/hub,0.5555555555555554
influxdata/influxdb,0.357142857142857
hashicorp/consul,0.41950113378684817
inconshreveable/ngrok,0.0
wagoodman/dive,0.0
cockroachdb/cockroach,0.6888297872340425
go-gitea/gitea,0.41522491349480983
rclone/rclone,0.5054945054945056
mattermost/mattermost-server,0.4862155388471177
kataras/iris,0.75
nsqio/nsq,0.3055555555555558
kubernetes/minikube,0.4689655172413793
openfaas/faas,0.7307692307692308
jinzhu/gorm,0.4
labstack/echo,0.4
yeasy/docker_practice,1.0000000000000002
go-kit/kit,0.5333333333333335
helm/helm,0.47107438016528924
spf13/cobra,0.0
hashicorp/vault,0.49826388888888884
joewalnes/websocketd,0.0
jesseduffield/lazygit,0.8
yudai/gotty,0.0
rancher/rancher,0.6405228758169932
cayleygraph/cayley,0.4642857142857142
tsenart/vegeta,1.0
sirupsen/logrus,0.5950413223140494
golang/dep,0.4586894586894584
go-delve/delve,0.7142857142857142
jesseduffield/lazydocker,0.4375
urfave/cli,0.4545454545454544
buger/goreplay,0.0
zyedidia/micro,0.5833333333333334
dgraph-io/dgraph,0.0
revel/revel,0.4052287581699346
tmrts/go-patterns,0.0
xtaci/kcptun,0.0
helm/charts,0.5464389837567678
wtfutil/wtf,0.7222222222222224
go-martini/martini,0.4375
valyala/fasthttp,0.75
coreybutler/nvm-windows,0.0
fogleman/primitive,0.0
txthinking/brook,0.0
CodisLabs/codis,0.4375
gorilla/mux,0.0
gorilla/websocket,0.0
julienschmidt/httprouter,0.0
boltdb/bolt,0.0
spf13/viper,0.3055555555555558
kubernetes/kops,0.5478596908442332
micro/go-micro,0.3055555555555558
grpc/grpc-go,0.4500000000000002
google/grumpy,1.0000000000000002
google/cadvisor,0.7692307692307694
goharbor/harbor,0.8888888888888888
chai2010/advanced-go-programming-book,1.0
rancher/k3s,0.0
hashicorp/packer,0.3950617283950617
jaegertracing/jaeger,0.8928571428571428
gizak/termui,0.0
gocolly/colly,0.75
google/gvisor,0.5384615384615388
bcicen/ctop,0.0
hyperledger/fabric,0.5837669094693028
esimov/caire,0.0
dutchcoders/transfer.sh,0.5555555555555554
vitessio/vitess,0.5084566596194505
ipfs/go-ipfs,0.24141519250780474
stretchr/testify,0.5999999999999998
rkt/rkt,0.5454545454545455
gopherjs/gopherjs,0.5555555555555554
chrislusf/seaweedfs,0.8
cnlh/nps,0.0
quii/learn-go-with-tests,0.8571428571428573
