reponame,sd
golang/go,1458.5295922130886
kubernetes/kubernetes,2054.4474840031407
gohugoio/hugo,2892.1068736756424
astaxie/build-web-application-with-golang,1831.8270022748336
gin-gonic/gin,993.4030434613721
gogs/gogs,1386.8447741755438
syncthing/syncthing,2667.23275360866
etcd-io/etcd,1665.4466455572929
prometheus/prometheus,1354.7318836996267
containous/traefik,498.10507260891615
junegunn/fzf,2.5707324842478633e-14
caddyserver/caddy,1041.7337802404206
ethereum/go-ethereum,2122.340295659085
astaxie/beego,1619.7949703732909
pingcap/tidb,725.7149609709286
istio/istio,2044.0761290115981
drone/drone,1354.8776791251971
hashicorp/terraform,1768.8838451777967
minio/minio,1441.223964551862
unknwon/the-way-to-go_ZH_CN,264.6559217203677
github/hub,1455.6403047359677
influxdata/influxdb,1974.372469225592
hashicorp/consul,1879.5237886139719
cockroachdb/cockroach,1139.033726870962
go-gitea/gitea,2168.726072865836
rclone/rclone,233.38017948760015
mattermost/mattermost-server,2522.6897358461874
kataras/iris,2.499370971227447e-13
nsqio/nsq,1.0343975445459068e-12
kubernetes/minikube,2516.0590713238853
openfaas/faas,1518.4801015939772
jinzhu/gorm,4.517116653998948e-13
labstack/echo,1896.0687211987965
go-kit/kit,1079.4472577570757
helm/helm,1897.268955335668
spf13/cobra,311.55648604781817
hashicorp/vault,249.16645708970566
jesseduffield/lazygit,3344.919784168373
rancher/rancher,2.719858929491261e-14
cayleygraph/cayley,188.31606718914028
sirupsen/logrus,973.1421827354502
golang/dep,2674.9452792144784
go-delve/delve,2.5707324842478633e-14
jesseduffield/lazydocker,299.9390577266515
urfave/cli,1364.3165859290752
buger/goreplay,0.0
zyedidia/micro,262.13307560400494
dgraph-io/dgraph,2087.9089835043983
revel/revel,1492.306875351125
helm/charts,1343.6242141933824
wtfutil/wtf,1618.7212707612632
go-martini/martini,339.8341057292869
valyala/fasthttp,1503.4562781491475
CodisLabs/codis,1.0343975445459068e-12
gorilla/mux,3186.66148546173
julienschmidt/httprouter,4.674496241689926e-14
spf13/viper,771.7218713117015
kubernetes/kops,1565.6443919689384
micro/go-micro,4.674496241689926e-14
grpc/grpc-go,1610.6282091480123
