reponame,male,female
golang/go,240,26
kubernetes/kubernetes,98,17
gohugoio/hugo,47,2
astaxie/build-web-application-with-golang,54,11
gin-gonic/gin,12,2
gogs/gogs,41,7
fatedier/frp,3,0
syncthing/syncthing,22,4
etcd-io/etcd,59,12
prometheus/prometheus,56,10
containous/traefik,34,2
junegunn/fzf,4,0
caddyserver/caddy,34,5
ethereum/go-ethereum,56,5
v2ray/v2ray-core,2,4
astaxie/beego,31,8
pingcap/tidb,96,18
FiloSottile/mkcert,2,0
istio/istio,114,24
drone/drone,38,3
hashicorp/terraform,181,21
minio/minio,16,9
unknwon/the-way-to-go_ZH_CN,20,7
github/hub,20,4
influxdata/influxdb,100,11
hashicorp/consul,74,10
inconshreveable/ngrok,2,0
wagoodman/dive,4,0
cockroachdb/cockroach,74,21
go-gitea/gitea,90,12
rclone/rclone,23,4
mattermost/mattermost-server,97,16
kataras/iris,6,2
nsqio/nsq,11,1
kubernetes/minikube,51,8
openfaas/faas,19,6
jinzhu/gorm,8,1
labstack/echo,8,1
yeasy/docker_practice,4,3
go-kit/kit,16,3
helm/helm,57,9
spf13/cobra,16,0
hashicorp/vault,82,14
joewalnes/websocketd,2,0
jesseduffield/lazygit,8,3
yudai/gotty,1,0
rancher/rancher,28,7
cayleygraph/cayley,13,2
tsenart/vegeta,2,1
sirupsen/logrus,18,4
golang/dep,46,7
go-delve/delve,10,3
jesseduffield/lazydocker,7,1
urfave/cli,20,3
buger/goreplay,8,0
zyedidia/micro,14,3
dgraph-io/dgraph,28,0
revel/revel,31,4
tmrts/go-patterns,2,0
xtaci/kcptun,0,1
helm/charts,246,48
wtfutil/wtf,13,4
go-martini/martini,7,1
valyala/fasthttp,6,2
coreybutler/nvm-windows,1,0
fogleman/primitive,1,0
txthinking/brook,1,0
CodisLabs/codis,7,1
gorilla/mux,10,0
gorilla/websocket,3,0
julienschmidt/httprouter,1,0
boltdb/bolt,5,0
spf13/viper,11,1
kubernetes/kops,97,19
micro/go-micro,11,1
grpc/grpc-go,27,4
google/grumpy,4,3
google/cadvisor,20,7
goharbor/harbor,20,10
chai2010/advanced-go-programming-book,5,4
rancher/k3s,9,0
hashicorp/packer,144,18
jaegertracing/jaeger,10,5
gizak/termui,8,0
gocolly/colly,6,2
google/gvisor,21,4
bcicen/ctop,3,0
hyperledger/fabric,51,11
esimov/caire,1,0
dutchcoders/transfer.sh,5,1
vitessio/vitess,74,13
ipfs/go-ipfs,58,4
stretchr/testify,9,2
rkt/rkt,36,7
gopherjs/gopherjs,5,1
chrislusf/seaweedfs,8,3
cnlh/nps,0,2
quii/learn-go-with-tests,9,4
restic/restic,28,5
go-sql-driver/mysql,7,2
asciimoo/wuzz,4,1
iawia002/annie,1,1
dinedal/textql,1,0
uber-go/zap,5,0
elastic/beats,51,11
PuerkitoBio/goquery,2,0
GoogleContainerTools/skaffold,27,8
apex/apex,4,0
golang/groupcache,2,0
cyfdecyf/cow,2,0
Masterminds/glide,10,1
grafana/loki,19,2
influxdata/telegraf,55,8
git-lfs/git-lfs,30,7
gravitational/teleport,13,3
Netflix/chaosmonkey,1,1
ory/hydra,8,2
flynn/flynn,19,2
apex/up,1,0
go-redis/redis,4,2
jmoiron/sqlx,4,0
grpc-ecosystem/grpc-gateway,15,4
andlabs/ui,0,1
bilibili/kratos,9,5
attic-labs/noms,15,1
emirpasic/gods,3,0
rakyll/hey,4,1
future-architect/vuls,5,6
micro/micro,5,1
openshift/origin,125,14
fyne-io/fyne,10,1
nats-io/nats-server,12,2
unknwon/go-fundamental-programming,1,0
sjwhitworth/golearn,13,0
sqshq/sampler,2,0
dgraph-io/badger,14,1
kelseyhightower/confd,7,5
gomodule/redigo,3,0
google/go-cloud,11,1
go-chi/chi,3,0
tidwall/tile38,5,1
shadowsocks/shadowsocks-go,3,1
dgrijalva/jwt-go,2,1
urfave/negroni,7,2
therecipe/qt,1,0
opencontainers/runc,51,10
json-iterator/go,4,1
kubernetes/dashboard,30,4
rook/rook,36,5
ardanlabs/gotraining,11,1
tylertreat/comcast,2,0
bettercap/bettercap,4,1
hoanhan101/ultimate-go,1,0
cjbassi/gotop,2,0
sosedoff/pgweb,5,1
keybase/client,37,3
blevesearch/bleve,12,2
henrylee2cn/pholcus,1,0
kubernetes/ingress-nginx,36,10
usefathom/fathom,3,0
gdrive-org/gdrive,1,1
filebrowser/filebrowser,3,0
polaris1119/The-Golang-Standard-Library-by-Example,5,0
hybridgroup/gobot,22,0
coreos/clair,5,4
fabiolb/fabio,8,0
linuxkit/linuxkit,34,4
tomnomnom/gron,1,0
docker/swarm,27,10
weaveworks/weave,20,2
jroimartin/gocui,1,0
teh-cmc/go-internals,1,0
tools/godep,2,0
XiaoMi/soar,4,0
graphql-go/graphql,16,2
golang/protobuf,11,1
rancher/os,10,3
loadimpact/k6,13,3
peco/peco,6,2
docker/machine,35,2
go-xorm/xorm,5,2
mailhog/MailHog,1,1
casbin/casbin,5,1
cheat/cheat,18,0
lib/pq,17,1
hashicorp/nomad,83,10
direnv/direnv,5,0
developer-learning/night-reading-go,11,1
simeji/jid,0,1
tidwall/gjson,1,0
upspin/upspin,11,1
aws/aws-sdk-go,14,3
Workiva/go-datastructures,6,1
kubernetes/community,163,31
pkg/errors,1,0
zricethezav/gitleaks,3,0
google/go-github,16,5
kubeless/kubeless,12,2
open-falcon/falcon-plus,19,2
cloudson/gitql,3,1
smartystreets/goconvey,10,0
