reponame,coefficient_of_variation
golang/go,3.8286156996256295
kubernetes/kubernetes,1.8400974214108126
gohugoio/hugo,4.498117619619469
astaxie/build-web-application-with-golang,4.0563977874744905
gin-gonic/gin,1.9496209565578733
gogs/gogs,4.975869690170643
fatedier/frp,0.11313708498984759
syncthing/syncthing,3.502584487321037
etcd-io/etcd,3.421771250158179
prometheus/prometheus,2.7098556499318813
containous/traefik,2.3589785716037315
junegunn/fzf,1.6752132865863845
caddyserver/caddy,4.042565149961546
ethereum/go-ethereum,3.4388712460616593
v2ray/v2ray-core,1.0760572320916795
astaxie/beego,3.954591855350366
pingcap/tidb,2.195114460655207
FiloSottile/mkcert,0.8585858585858586
istio/istio,1.443021510248106
drone/drone,5.111974469059019
hashicorp/terraform,3.876475310509001
minio/minio,2.3824568405532878
unknwon/the-way-to-go_ZH_CN,2.6341333709626915
github/hub,2.80021061020749
influxdata/influxdb,1.928420376009438
hashicorp/consul,2.4444573682305792
inconshreveable/ngrok,0.9647887323943662
wagoodman/dive,1.3964842794088261
cockroachdb/cockroach,2.1246635627535833
go-gitea/gitea,4.020058398916189
rclone/rclone,4.223389150845133
mattermost/mattermost-server,3.043665263578165
kataras/iris,2.3468039809534744
nsqio/nsq,2.275416706790373
kubernetes/minikube,3.1311088585199793
openfaas/faas,3.6514344086011636
jinzhu/gorm,2.5308757525857613
labstack/echo,2.648986562958191
yeasy/docker_practice,1.3766958634949369
go-kit/kit,2.766800221228203
helm/helm,2.802505373228287
spf13/cobra,1.3493690989061289
hashicorp/vault,4.161357351586287
joewalnes/websocketd,0.2361111111111111
jesseduffield/lazygit,2.1947252625832383
yudai/gotty,0.0
rancher/rancher,1.2805935977055212
cayleygraph/cayley,1.7752769687553813
tsenart/vegeta,1.3123771737476853
sirupsen/logrus,2.2148613187677406
golang/dep,3.8996879401970297
go-delve/delve,2.160920608600713
jesseduffield/lazydocker,1.6002293088279946
urfave/cli,1.7716417963770485
buger/goreplay,2.1116884944596412
zyedidia/micro,3.296511905849262
dgraph-io/dgraph,1.7268945693462259
revel/revel,2.36192110672402
tmrts/go-patterns,0.7096774193548387
xtaci/kcptun,0.0
helm/charts,3.1429076792606057
wtfutil/wtf,3.1899517730659466
go-martini/martini,1.6096529031760498
valyala/fasthttp,2.2098191735166255
coreybutler/nvm-windows,0.0
fogleman/primitive,0.0
txthinking/brook,0.0
CodisLabs/codis,0.8623080701587584
gorilla/mux,1.2255224181460118
gorilla/websocket,1.2442032455022292
julienschmidt/httprouter,0.0
boltdb/bolt,1.7191454440575158
spf13/viper,0.8263597100357508
kubernetes/kops,4.745478826457538
micro/go-micro,2.584987569011261
grpc/grpc-go,2.722272075300856
google/grumpy,1.0227060596482247
google/cadvisor,1.8150900331440196
goharbor/harbor,1.7359417428218782
chai2010/advanced-go-programming-book,1.5132936095177847
rancher/k3s,1.5931870237438828
hashicorp/packer,4.33040704189849
jaegertracing/jaeger,1.6496059872978435
gizak/termui,1.3472034564155264
gocolly/colly,2.157555916499102
google/gvisor,1.085167830274159
bcicen/ctop,1.3043068189679916
hyperledger/fabric,2.1212805686928573
esimov/caire,0.0
dutchcoders/transfer.sh,0.9369955827424977
vitessio/vitess,3.6423870610739177
ipfs/go-ipfs,2.9474952086596615
stretchr/testify,1.5220943445698842
rkt/rkt,2.020376562191935
gopherjs/gopherjs,1.7724120686933005
chrislusf/seaweedfs,2.9215460761806047
cnlh/nps,0.7358490566037735
quii/learn-go-with-tests,2.572795582325524
restic/restic,5.044103905745306
go-sql-driver/mysql,1.8839880123016322
asciimoo/wuzz,1.6276847556177403
iawia002/annie,0.9796747967479674
dinedal/textql,0.0
uber-go/zap,0.8475035261561066
elastic/beats,2.345740589663566
PuerkitoBio/goquery,0.8955823293172691
GoogleContainerTools/skaffold,2.32372742111363
apex/apex,1.2464114218134847
golang/groupcache,0.42857142857142855
cyfdecyf/cow,0.9865642994241842
Masterminds/glide,2.1508603808178206
grafana/loki,1.1299872578083014
influxdata/telegraf,4.184917654098075
git-lfs/git-lfs,2.839191797063111
gravitational/teleport,1.6359003945277502
Netflix/chaosmonkey,0.8490566037735849
ory/hydra,2.5672683706051025
flynn/flynn,2.247480905141165
apex/up,0.0
go-redis/redis,2.09474117048719
jmoiron/sqlx,1.3108456647835534
grpc-ecosystem/grpc-gateway,1.8386699231677863
andlabs/ui,0.0
bilibili/kratos,1.533628868668885
attic-labs/noms,1.8547232467494479
emirpasic/gods,1.2741418949739058
rakyll/hey,1.4042758794055503
future-architect/vuls,2.570056167701032
micro/micro,1.7245963971713074
openshift/origin,3.0219146888429957
fyne-io/fyne,2.2073738281868076
nats-io/nats-server,2.1639850386943102
unknwon/go-fundamental-programming,0.0
sjwhitworth/golearn,1.401427236993341
sqshq/sampler,0.9583333333333334
dgraph-io/badger,1.5123882419200139
