reponame,time_avg,n
golang/go,139.011320754717,265
kubernetes/kubernetes,436.63793103448273,116
gohugoio/hugo,91.47916666666667,48
astaxie/build-web-application-with-golang,61.682539682539684,63
gin-gonic/gin,62.357142857142854,14
gogs/gogs,99.44444444444444,45
fatedier/frp,8.333333333333334,3
syncthing/syncthing,197.19230769230768,26
etcd-io/etcd,209.57746478873239,71
prometheus/prometheus,100.27692307692308,65
containous/traefik,75.42857142857143,35
junegunn/fzf,375.0,4
caddyserver/caddy,51.333333333333336,39
ethereum/go-ethereum,167.03333333333333,60
v2ray/v2ray-core,36.333333333333336,6
astaxie/beego,75.29729729729729,37
pingcap/tidb,76.94495412844037,109
FiloSottile/mkcert,49.5,2
istio/istio,59.96350364963504,137
drone/drone,73.85365853658537,41
hashicorp/terraform,106.40298507462687,201
minio/minio,142.24,25
unknwon/the-way-to-go_ZH_CN,34.55555555555556,27
github/hub,117.33333333333333,24
influxdata/influxdb,273.47222222222223,108
hashicorp/consul,109.72289156626506,83
inconshreveable/ngrok,142.0,2
wagoodman/dive,74.75,4
cockroachdb/cockroach,335.3157894736842,95
go-gitea/gitea,70.18556701030928,97
rclone/rclone,128.8846153846154,26
mattermost/mattermost-server,89.16216216216216,111
kataras/iris,152.25,8
nsqio/nsq,161.41666666666666,12
kubernetes/minikube,88.89655172413794,58
openfaas/faas,65.33333333333333,24
jinzhu/gorm,134.55555555555554,9
labstack/echo,116.22222222222223,9
yeasy/docker_practice,121.57142857142857,7
go-kit/kit,58.21052631578947,19
helm/helm,64.71212121212122,66
spf13/cobra,32.3125,16
hashicorp/vault,104.57446808510639,94
joewalnes/websocketd,72.0,2
jesseduffield/lazygit,112.18181818181819,11
yudai/gotty,197.0,1
rancher/rancher,91.37142857142857,35
cayleygraph/cayley,88.53333333333333,15
tsenart/vegeta,159.66666666666666,3
sirupsen/logrus,33.59090909090909,22
golang/dep,60.34,50
go-delve/delve,96.3076923076923,13
jesseduffield/lazydocker,50.875,8
urfave/cli,54.30434782608695,23
buger/goreplay,107.875,8
zyedidia/micro,99.8125,16
dgraph-io/dgraph,113.46428571428571,28
revel/revel,38.714285714285715,35
tmrts/go-patterns,31.0,2
xtaci/kcptun,332.0,1
helm/charts,23.682758620689654,290
wtfutil/wtf,102.23529411764706,17
go-martini/martini,49.875,8
valyala/fasthttp,137.75,8
coreybutler/nvm-windows,168.0,1
fogleman/primitive,145.0,1
txthinking/brook,174.0,1
CodisLabs/codis,42.0,6
gorilla/mux,16.2,10
gorilla/websocket,66.33333333333333,3
julienschmidt/httprouter,215.0,1
boltdb/bolt,137.4,5
spf13/viper,12.0,12
kubernetes/kops,63.293103448275865,116
micro/go-micro,185.54545454545453,11
grpc/grpc-go,87.17241379310344,29
google/grumpy,21.142857142857142,7
google/cadvisor,73.18518518518519,27
goharbor/harbor,224.93333333333334,30
chai2010/advanced-go-programming-book,145.66666666666666,9
rancher/k3s,88.55555555555556,9
hashicorp/packer,73.85534591194968,159
jaegertracing/jaeger,47.06666666666667,15
gizak/termui,40.125,8
gocolly/colly,47.0,8
google/gvisor,67.64,25
bcicen/ctop,135.0,3
hyperledger/fabric,118.04838709677419,62
esimov/caire,193.0,1
dutchcoders/transfer.sh,59.166666666666664,6
vitessio/vitess,172.49397590361446,83
ipfs/go-ipfs,151.45901639344262,61
stretchr/testify,24.727272727272727,11
rkt/rkt,116.69047619047619,42
gopherjs/gopherjs,336.3333333333333,6
chrislusf/seaweedfs,216.0,11
cnlh/nps,26.5,2
quii/learn-go-with-tests,69.16666666666667,12
restic/restic,121.625,32
go-sql-driver/mysql,73.55555555555556,9
asciimoo/wuzz,32.2,5
iawia002/annie,246.0,2
dinedal/textql,94.0,1
uber-go/zap,49.6,5
elastic/beats,151.34426229508196,61
PuerkitoBio/goquery,124.5,2
GoogleContainerTools/skaffold,127.14285714285714,35
apex/apex,152.25,4
golang/groupcache,14.0,2
cyfdecyf/cow,521.0,2
Masterminds/glide,100.4,10
grafana/loki,42.95,20
influxdata/telegraf,55.0655737704918,61
git-lfs/git-lfs,199.41666666666666,36
gravitational/teleport,266.9375,16
Netflix/chaosmonkey,53.0,2
ory/hydra,120.11111111111111,9
flynn/flynn,337.85714285714283,21
apex/up,204.0,1
go-redis/redis,207.33333333333334,6
jmoiron/sqlx,95.66666666666667,3
grpc-ecosystem/grpc-gateway,32.473684210526315,19
andlabs/ui,2767.0,1
bilibili/kratos,30.5,14
attic-labs/noms,168.25,16
emirpasic/gods,100.66666666666667,3
rakyll/hey,44.2,5
future-architect/vuls,74.63636363636364,11
micro/micro,305.0,5
openshift/origin,156.42446043165467,139
fyne-io/fyne,161.875,8
nats-io/nats-server,140.92857142857142,14
unknwon/go-fundamental-programming,115.0,1
sjwhitworth/golearn,33.583333333333336,12
sqshq/sampler,120.0,2
dgraph-io/badger,50.733333333333334,15
kelseyhightower/confd,54.25,12
gomodule/redigo,62.333333333333336,3
google/go-cloud,124.45454545454545,11
go-chi/chi,43.666666666666664,3
tidwall/tile38,129.83333333333334,6
shadowsocks/shadowsocks-go,79.0,4
dgrijalva/jwt-go,85.66666666666667,3
urfave/negroni,37.25,8
therecipe/qt,16.0,1
opencontainers/runc,58.46666666666667,60
json-iterator/go,139.0,5
kubernetes/dashboard,52.794117647058826,34
rook/rook,86.25,40
ardanlabs/gotraining,204.5,12
tylertreat/comcast,31.5,2
bettercap/bettercap,34.2,5
hoanhan101/ultimate-go,173.0,1
cjbassi/gotop,198.0,2
sosedoff/pgweb,151.16666666666666,6
keybase/client,769.7,40
blevesearch/bleve,163.35714285714286,14
henrylee2cn/pholcus,467.0,1
kubernetes/ingress-nginx,79.6,45
usefathom/fathom,212.33333333333334,3
gdrive-org/gdrive,127.0,2
filebrowser/filebrowser,537.0,3
polaris1119/The-Golang-Standard-Library-by-Example,28.6,5
hybridgroup/gobot,107.27272727272727,22
coreos/clair,89.0,9
fabiolb/fabio,116.25,8
linuxkit/linuxkit,190.38888888888889,36
tomnomnom/gron,170.0,1
docker/swarm,86.5945945945946,37
weaveworks/weave,326.6190476190476,21
jroimartin/gocui,228.0,1
teh-cmc/go-internals,19.0,1
tools/godep,134.0,2
XiaoMi/soar,82.25,4
graphql-go/graphql,46.529411764705884,17
golang/protobuf,46.583333333333336,12
rancher/os,231.36363636363637,11
loadimpact/k6,55.125,16
peco/peco,156.625,8
docker/machine,77.4054054054054,37
go-xorm/xorm,174.85714285714286,7
mailhog/MailHog,127.0,2
casbin/casbin,116.2,5
cheat/cheat,42.44444444444444,18
lib/pq,25.5,18
hashicorp/nomad,170.90217391304347,92
direnv/direnv,72.4,5
developer-learning/night-reading-go,54.54545454545455,11
simeji/jid,110.0,1
tidwall/gjson,176.0,1
upspin/upspin,178.41666666666666,12
aws/aws-sdk-go,125.1875,16
Workiva/go-datastructures,27.0,7
kubernetes/community,32.08762886597938,194
pkg/errors,104.0,1
zricethezav/gitleaks,107.0,3
google/go-github,31.523809523809526,21
kubeless/kubeless,54.0,14
open-falcon/falcon-plus,26.0,20
cloudson/gitql,51.75,4
smartystreets/goconvey,97.0,10
yeasy/blockchain_guide,265.5,2
